Antiques,,,,,,20081
,Antique Clocks,,,,,13851
,,Bracket Clocks,,,,100904
,,,Pre-1900,,,66840
,,,Post-1900,,,96762
,,Cuckoo Clocks,,,,13850
,,Longcase/Grandfather Clocks,,,,100905
,,,Pre-1900,,,60249
,,,Post-1900,,,96763
,,Mantel/Carriage Clocks,,,,100906
,,,Pre-1900,,,60248
,,,Post-1900,,,96764
,,Wall Clocks,,,,100907
,,,Pre-1900,,,60250
,,,Post-1900,,,96765
,,Clock Parts,,,,112089
,,Other Antique Clocks,,,,100908
,,,Pre-1900,,,3929
,,,Post-1900,,,96766
,Antique Furniture,,,,,20091
,,Armoires/Wardrobes,,,,98436
,,,Pre-Victorian (Pre-1837),,,98437
,,,Victorian (1837-1901),,,60275
,,,Edwardian (1901-1910),,,121481
,,,20th Century,,,66858
,,,Reproduction Arms./Wardrobes,,,130929
,,Beds,,,,63549
,,,Pre-Victorian (Pre-1837),,,63552
,,,Victorian (1837-1901),,,63550
,,,Edwardian (1901-1910),,,121473
,,,20th Century,,,63551
,,,Reproduction Beds,,,130921
,,Benches/Stools,,,,63553
,,,Pre-Victorian (Pre-1837),,,63554
,,,Victorian (1837-1901),,,63555
,,,Edwardian (1901-1910),,,121474
,,,20th Century,,,63556
,,,Reproduction Benches/Stools,,,130922
,,Bookcases,,,,63557
,,,Pre-Victorian (Pre-1837),,,63558
,,,Victorian (1837-1901),,,63559
,,,Edwardian (1901-1910),,,121475
,,,20th Century,,,63560
,,,Reproduction Bookcases,,,130923
,,Boxes/Chests,,,,98430
,,,Pre-Victorian (Pre-1837),,,98431
,,,Victorian (1837-1901),,,66842
,,,Edwardian (1901-1910),,,121476
,,,20th Century,,,66854
,,,Reproduction Boxes/Chests,,,130924
,,Bureaux,,,,98432
,,,Pre-Victorian (Pre-1837),,,98433
,,,Victorian (1837-1901),,,96755
,,,Edwardian (1901-1910),,,121477
,,,20th Century,,,96758
,,,Reproduction Bureaux,,,130925
,,Cabinets,,,,63561
,,,Pre-Victorian (Pre-1837),,,63562
,,,Victorian (1837-1901),,,63563
,,,Edwardian (1901-1910),,,121478
,,,20th Century,,,63564
,,,Reproduction Cabinets,,,130926
,,Chairs,,,,63565
,,,Pre-Victorian (Pre-1837),,,63566
,,,Victorian (1837-1901),,,63567
,,,Edwardian (1901-1910),,,121479
,,,20th Century,,,63568
,,,Reproduction Chairs,,,130927
,,Chests of Drawers,,,,98434
,,,Pre-Victorian (Pre-1837),,,98435
,,,Victorian (1837-1901),,,66844
,,,Edwardian (1901-1910),,,121480
,,,20th Century,,,66857
,,,Reproduction Chests of Drawers,,,130928
,,Coffers,,,,100925
,,Desks,,,,63569
,,,Pre-Victorian (Pre-1837),,,63570
,,,Victorian (1837-1901),,,63571
,,,Edwardian (1901-1910),,,121482
,,,20th Century,,,63572
,,,Reproduction Desks,,,130930
